# index, node_type, node_subtype, name, _pos
215,INTERNEURONS,,AVAL,"array([ -1.99393789, -18.00136387])"
216,INTERNEURONS,,AVAR,"array([ -3.17802462, -17.94937575])"
217,INTERNEURONS,,PVCL,"array([ -1.09802355, -17.09603181])"
218,INTERNEURONS,,PVCR,"array([ -1.91222055, -17.47437677])"
219,INTERNEURONS,,RIPL,"array([-11.08449794, -14.80911448])"
220,INTERNEURONS,,RIPR,"array([-12.92019466, -16.40861366])"
221,MOTOR NEURONS,HEAD MOTOR NEURONS,URADL,"array([  1.51046753, -37.67943168])"
222,MOTOR NEURONS,HEAD MOTOR NEURONS,URADR,"array([ -9.70797017, -20.42672279])"
223,MOTOR NEURONS,HEAD MOTOR NEURONS,URAVL,"array([ -8.66267801, -14.12765011])"
224,MOTOR NEURONS,HEAD MOTOR NEURONS,URAVR,"array([-15.24458758, -12.08669312])"
225,MOTOR NEURONS,HEAD MOTOR NEURONS,RMEL,"array([ -8.85943136, -19.53518933])"
226,MOTOR NEURONS,HEAD MOTOR NEURONS,RMER,"array([-10.66081105, -16.7949728 ])"
227,MOTOR NEURONS,HEAD MOTOR NEURONS,RMED,"array([-11.45382374, -16.48135771])"
228,MOTOR NEURONS,HEAD MOTOR NEURONS,RMEV,"array([ -8.40042499, -17.27370843])"
229,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDDL,"array([ -9.07486558, -15.86480113])"
230,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDDR,"array([ -7.47456577, -15.56184218])"
231,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDL,"array([ -8.47812409, -16.79222735])"
232,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDR,"array([ -5.80139628, -18.07326269])"
233,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDVL,"array([ -8.44801544, -15.54429505])"
234,MOTOR NEURONS,HEAD MOTOR NEURONS,RMDVR,"array([ -6.64123017, -15.99354293])"
235,MOTOR NEURONS,HEAD MOTOR NEURONS,RIVL,"array([ -7.76720124, -17.63104001])"
