synapse_from,synapse_to,synapse_type,neurotransmitter,receptor,g_max_ns,delay_ms,weight,note
4664256,11037238,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4664256,21220994,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4680995,5762666,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
4680995,5769582,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4680995,7719118,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
4680995,9637388,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
4680995,9753418,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
4680995,17326218,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4680995,17425996,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
4680995,17729088,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
4680995,17777259,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
4680995,17806341,chem,other,none,5.00,0.50,9,子图 MD 痛觉 内部化学连接
4680995,18655517,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5108525,9640873,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5108525,12667895,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5108525,14493841,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
5108525,17108278,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5691934,3862443,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
5691934,5750884,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
5691934,6692908,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5691934,7719118,chem,other,none,5.00,0.50,10,子图 MD 痛觉 内部化学连接
5691934,8826198,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5691934,11037238,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
5691934,17360254,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5744058,4128002,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5744058,12398622,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5750884,9422291,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
5750884,11037238,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
5750884,17165621,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5750884,20443420,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
5762666,3862443,chem,other,none,5.00,0.50,8,子图 MD 痛觉 内部化学连接
5762666,5691934,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
5762666,5750884,chem,other,none,5.00,0.50,8,子图 MD 痛觉 内部化学连接
5762666,5762666,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5762666,6633635,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5762666,7719118,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
5762666,8412625,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
5762666,8939384,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5762666,9202326,chem,other,none,5.00,0.50,8,子图 MD 痛觉 内部化学连接
5762666,9422291,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
5762666,9637388,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5762666,11037238,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
5762666,11263687,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
5762666,17165621,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
5762666,17729088,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
5762666,17777259,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5762666,18655517,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5762666,18656202,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5762666,20443420,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
5762666,20730780,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
5769582,5691934,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
5769582,8826198,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
5769582,9753418,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
5769582,11003551,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
5769582,15514582,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
5769582,17854345,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
6633635,6633635,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6633635,9161929,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
6633635,9241349,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
6633635,9507904,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6633635,9720614,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
6633635,10893103,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6633635,12325227,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6633635,14338439,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6633635,18058644,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6692908,2881070,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
6692908,3862443,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
6692908,4128002,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6692908,4393350,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
6692908,5691934,chem,other,none,5.00,0.50,5,子图 MD 痛觉 内部化学连接
6692908,5750884,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
6692908,6633635,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6692908,8805777,chem,other,none,5.00,0.50,4,子图 MD 痛觉 内部化学连接
6692908,8970595,chem,other,none,5.00,0.50,2,子图 MD 痛觉 内部化学连接
6692908,9051500,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6692908,9241349,chem,other,none,5.00,0.50,8,子图 MD 痛觉 内部化学连接
6692908,9507904,chem,other,none,5.00,0.50,6,子图 MD 痛觉 内部化学连接
6692908,9530532,chem,other,none,5.00,0.50,9,子图 MD 痛觉 内部化学连接
6692908,9637388,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6692908,9720614,chem,other,none,5.00,0.50,3,子图 MD 痛觉 内部化学连接
6692908,10893103,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6692908,14338439,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
6692908,16594752,chem,other,none,5.00,0.50,7,子图 MD 痛觉 内部化学连接
6692908,17654624,chem,other,none,5.00,0.50,1,子图 MD 痛觉 内部化学连接
